종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"067170","오텍","KOSDAQ","우량기업부","9200","200","2.22","9000","9380","8850","85056","774475600","141602766000","15391605"
"173130","오파스넷","KOSDAQ","기술성장기업부","7000","170","2.49","6850","7350","6780","59774","421571880","28181314000","4025902"
"049480","오픈베이스","KOSDAQ","중견기업부","1855","60","3.34","1795","1875","1780","236950","435818475","58288520465","31422383"
"226950","올릭스","KOSDAQ","기술성장기업부","56500","1000","1.80","56500","59800","55000","269705","15617758400","364759536500","6455921"
"057540","옴니시스템","KOSDAQ","우량기업부","1780","55","3.19","1780","1850","1725","337521","603588110","72408646700","40679015"
"057680","옴니텔","KOSDAQ","중견기업부","1780","75","4.40","1795","1830","1720","364716","646529030","38623579200","21698640"
"123010","옵토팩","KOSDAQ","기술성장기업부","3320","120","3.75","3200","3440","3195","3358","10943275","16558197880","4987409"
"082210","옵트론텍","KOSDAQ","우량기업부","4010","200","5.25","3805","4055","3800","106821","419430340","90468114270","22560627"
"109080","옵티시스","KOSDAQ","벤처기업부","6000","10","0.17","5910","6160","5900","18589","111451460","33816000000","5636000"
"153710","옵티팜","KOSDAQ","기술성장기업부","11250","-1050","-8.54","12750","13050","11100","3109920","37432497750","159944152500","14217258"
"052770","와이디온라인","KOSDAQ","투자주의환기종목(소속부없음)","2750","155","5.97","2600","2820","2595","157792","428476445","86414333500","31423394"
"057030","와이비엠넷","KOSDAQ","중견기업부","1660","90","5.73","1575","1730","1575","67311","110209115","27079077020","16312697"
"122990","와이솔","KOSDAQ","우량기업부","15550","100","0.65","15600","15750","15300","213636","3326721500","375407182550","24141941"
"232140","와이아이케이","KOSDAQ","우량기업부","2920","160","5.80","2840","2950","2775","215106","618138385","180422291520","61788456"
"067900","와이엔텍","KOSDAQ","우량기업부","4040","75","1.89","4020","4075","3880","102985","411455405","73526622360","18199659"
"155650","와이엠씨","KOSDAQ","우량기업부","7740","390","5.31","7520","7800","7260","1112390","8305819390","154601530920","19974358"
"251370","와이엠티","KOSDAQ","벤처기업부","16150","450","2.87","16250","16550","15400","32522","522386650","119593980000","7405200"
"066430","와이오엠","KOSDAQ","관리종목(소속부없음)","8880","-20","-0.22","9080","9500","8810","142830","1288704880","102684181920","11563534"
"193250","와이제이엠게임즈","KOSDAQ","중견기업부","1770","55","3.21","1695","1780","1695","345640","601498970","80776773150","45636595"
"019210","와이지-원","KOSDAQ","우량기업부","9600","200","2.13","9460","9750","9350","131724","1260772610","292861420800","30506398"
"122870","와이지엔터테인먼트","KOSDAQ","우량기업부","36850","-1150","-3.03","38000","38050","36500","192938","7157627600","670143376650","18185709"
"079000","와토스코리아","KOSDAQ","중견기업부","5430","0","0.00","5470","5500","5420","3662","19902720","39096000000","7200000"
"070960","용평리조트","KOSPI",,"5250","200","3.96","5050","5260","4960","333561","1709908570","252699998250","48133333"
"114630","우노앤컴퍼니","KOSDAQ","중견기업부","4740","75","1.61","4665","4745","4550","156","731855","64340594100","13573965"
"032820","우리기술","KOSDAQ","벤처기업부","1070","20","1.90","1050","1095","1020","1356823","1437051800","91377991440","85399992"
"041190","우리기술투자","KOSDAQ","벤처기업부","2690","95","3.66","2605","2820","2600","2811956","7641483870","225960000000","84000000"
"115440","우리넷","KOSDAQ","벤처기업부","4255","180","4.42","4095","4285","4020","92116","386981225","27086096050","6365710"
"004720","우리들제약","KOSPI",,"6440","460","7.69","5920","6440","5920","107350","660510580","74512886560","11570324"
"118000","우리들휴브레인","KOSPI",,"2335","120","5.42","2230","2335","2175","148712","340608245","56735874365","24298019"
"046970","우리로","KOSDAQ","벤처기업부","2060","20","0.98","2045","2070","2010","128922","263808350","51069705140","24791119"
"215360","우리산업","KOSDAQ","우량기업부","28100","-400","-1.40","28650","28900","27650","131356","3712399400","256613780300","9132163"
"072470","우리산업홀딩스","KOSDAQ","우량기업부","3780","-60","-1.56","3715","3845","3635","17133","63720015","71394148980","18887341"
