,기업코드,ESG등급,환경,사회,지배구조,평가년도,업종명
JW홀딩스,96760,B+,C,B+,B+,2022,기타금융
JYP Ent.,35900,B,C,A,B,2022,오락·문화
KCC건설,21320,D,D,D,D,2022,건설
KCI,36670,C,B,B+,C,2022,화학
KC그린홀딩스,9440,D,D,D,C,2022,기타금융
KC코트렐,119650,D,D,D,C,2022,기계
KEC,92220,C,C,D,C,2022,전기전자
KG ETS,151860,D,C,D,D,2022,기타서비스
KG모빌리언스,46440,D,D,D,C,2022,소프트웨어
KG이니시스,35600,D,D,C,D,2022,소프트웨어
KG케미칼,1390,D,D,D,D,2022,화학
KH 필룩스,33180,D,D,C,D,2022,전기전자
KH바텍,60720,B+,B,A,B+,2022,IT부품
KISCO홀딩스,1940,C,C,D,C,2022,철강금속
KPX케미칼,25000,D,C,C,D,2022,화학
KPX홀딩스,92230,C,D,C,C,2022,화학
KR모터스,40,D,D,D,D,2022,운수장비
KSS해운,44450,B+,B+,A,B+,2022,운수창고업
KTcs,58850,A,B+,A,A,2022,서비스업
KTis,58860,B+,B+,B+,B+,2022,서비스업
KT서브마린,60370,C,D,D,B+,2022,건설
LF,93050,B,D,B,B+,2022,섬유의복
LG,3550,A,B+,A+,A,2022,기타금융
LG디스플레이,34220,A,A,A,B+,2022,전기전자
LG생활건강,51900,A,A,A+,A,2022,화학
LG유플러스,32640,A,A,A,A,2022,통신업
LG이노텍,11070,A,A,A+,A,2022,전기전자
LG전자,66570,A,A,A+,A,2022,전기전자
LG헬로비전,37560,A,B,A,A,2022,서비스업
LG화학,51910,B,C,A,B+,2022,화학
LIG넥스원,79550,A,A,A+,A,2022,기계
LS,6260,C,B+,A,C,2022,기타금융
LS네트웍스,680,B,C,B+,B,2022,유통업
LS전선아시아,229640,C,D,D,B,2022,기타금융
LX세미콘,108320,A,A,A+,B+,2022,반도체
LX인터내셔널,1120,A,B+,A,A,2022,유통업
LX하우시스,108670,A,B+,A,A,2022,화학
MH에탄올,23150,C,C,D,B,2022,음식료품
NAVER,35420,A,A,A,A,2022,서비스업
NHN한국사이버결제,60250,C,D,B,C,2022,소프트웨어
NH투자증권,5940,B+,A,A,B+,2022,증권
NICE,34310,B+,C,B+,B+,2022,서비스업
NICE평가정보,30190,B,B,B+,B,2022,기타서비스
NI스틸,8260,D,D,D,C,2022,철강금속
OCI,10060,A,B+,A,A,2022,화학
RFHIC,218410,C,D,D,B,2022,일반전기전자
S-Oil,10950,A,B,A+,A+,2022,화학
SBS,34120,C,D,D,B+,2022,서비스업
SBS콘텐츠허브,46140,C,D,D,B,2022,오락·문화
SFA반도체,36540,D,C,C,D,2022,반도체
SGC에너지,5090,B+,B+,A,B+,2022,전기가스업
SGC이테크건설,16250,B,B,B,B,2022,건설
SG글로벌,1380,D,D,D,D,2022,운수장비
