,기업코드,ESG등급,환경,사회,지배구조,평가년도,업종명
오리콤,10470,C,D,C,C,2022,기타서비스
오스코텍,39200,D,D,D,D,2022,제약
오스템임플란트,48260,D,D,D,D,2022,의료·정밀기기
오이솔루션,138080,C,D,D,B,2022,통신장비
오하임아이엔티,309930,D,D,D,C,2022,유통
와이즈버즈,273060,D,D,D,C,2022,기타서비스
와이지엔터테인먼트,122870,C,C,B+,D,2022,오락·문화
와이투솔루션,11690,D,D,D,C,2022,전기전자
용평리조트,70960,D,C,D,D,2022,서비스업
우리금융지주,316140,A,A,A+,B+,2022,기타금융
우리기술투자,41190,D,D,D,D,2022,금융
우신시스템,17370,D,D,D,C,2022,기계
우진,105840,C,D,C,B,2022,의료정밀
우진아이엔에스,10400,C,D,D,B,2022,건설업
우진플라임,49800,D,D,D,D,2022,기계
웅진,16880,C,C,B+,C,2022,기타금융
웅진씽크빅,95720,B+,C,B+,B+,2022,서비스업
원림,5820,D,D,D,C,2022,섬유의복
원익IPS,240810,B,C,B+,B,2022,반도체
원익QnC,74600,D,D,C,C,2022,비금속
원익머트리얼즈,104830,C,C,B,B,2022,반도체
원익홀딩스,30530,C,C,B,D,2022,기계·장비
웰바이오텍,10600,D,D,D,D,2022,유통업
웹젠,69080,C,D,C,C,2022,디지털컨텐츠
위메이드,112040,C,B,B+,C,2022,디지털컨텐츠
윌비스,8600,D,D,D,C,2022,유통업
유니드,14830,B,C,B+,B,2022,화학
유니슨,18000,D,D,D,C,2022,기계·장비
유니온,910,C,C,C,B,2022,비금속광물
유니온머티리얼,47400,D,D,D,C,2022,비금속광물
유니켐,11330,D,D,D,D,2022,기타제조업
유니퀘스트,77500,D,D,D,D,2022,유통업
유바이오로직스,206650,D,D,D,D,2022,제약
유성기업,2920,C,C,C,C,2022,운수장비
유수홀딩스,700,B+,B,B+,B+,2022,서비스업
유안타증권,3470,C,D,C,B,2022,증권
유엔젤,72130,D,D,D,D,2022,서비스업
유유제약,220,C,D,B,D,2022,의약품
유진기업,23410,D,D,C,D,2022,비금속
유진테크,84370,D,D,C,C,2022,반도체
유한양행,100,B+,B,A,B+,2022,의약품
유화증권,3460,D,D,D,C,2022,증권
율촌화학,8730,C,C,C,C,2022,화학
이건산업,8250,D,D,C,D,2022,종이목재
이구산업,25820,C,C,C,C,2022,철강금속
이노션,214320,B+,B,A,B+,2022,서비스업
이녹스첨단소재,272290,C,C,C,C,2022,IT부품
이니텍,53350,B,C,B+,B,2022,소프트웨어
이마트,139480,A,A+,A,B+,2022,유통업
이베스트투자증권,78020,C,D,C,B,2022,금융
이수페타시스,7660,C,B,B+,D,2022,전기전자
이수화학,5950,C,B,B+,D,2022,화학
이스타코,15020,D,D,D,C,2022,서비스업
이아이디,93230,D,D,D,D,2022,유통업
이엔에프테크놀로지,102710,D,D,C,D,2022,화학
이엔플러스,74610,D,D,C,D,2022,기계
이연제약,102460,C,D,D,B+,2022,의약품
이오테크닉스,39030,D,D,D,C,2022,반도체
이월드,84680,D,D,C,D,2022,기타제조업
이화산업,760,D,D,D,D,2022,유통업
인디에프,14990,D,D,D,C,2022,섬유의복
인바이오젠,101140,D,D,D,D,2022,유통업
인선이엔티,60150,D,C,C,D,2022,기타서비스
인스코비,6490,D,D,D,D,2022,통신업
인지컨트롤스,23800,D,D,C,D,2022,운수장비
인천도시가스,34590,C,D,B,B,2022,전기가스업
인크로스,216050,C,D,C,B,2022,기타서비스
인탑스,49070,B,C,B+,B+,2022,IT부품
인터지스,129260,C,C,B,C,2022,운수창고업
인터파크,35080,C,D,C,B,2022,유통
인터플렉스,51370,D,C,D,D,2022,IT부품
인트론바이오,48530,C,D,D,B,2022,제약
인팩,23810,C,D,C,B,2022,운수장비
일동제약,249420,B,C,A+,B,2022,의약품
일동홀딩스,230,B+,C,A+,B+,2022,의약품
일성건설,13360,D,D,D,C,2022,건설업
일성신약,3120,D,D,D,D,2022,의약품
일신방직,3200,D,C,C,D,2022,섬유의복
일신석재,7110,D,D,D,C,2022,유통업
일양약품,7570,C,D,C,B+,2022,의약품
일정실업,8500,D,D,D,C,2022,섬유의복
일진다이아,81000,D,D,D,C,2022,화학
일진디스플,20760,D,D,D,C,2022,전기전자
일진머티리얼즈,20150,D,D,D,D,2022,전기전자
일진전기,103590,D,D,C,D,2022,전기전자
일진홀딩스,15860,C,D,C,B,2022,기타금융
잇츠한불,226320,C,D,C,B,2022,화학
자이에스앤디,317400,B,C,B+,B+,2022,서비스업
자화전자,33240,D,D,C,C,2022,전기전자
전방,950,D,C,C,D,2022,섬유의복
제넥신,95700,D,D,C,D,2022,기타서비스
제이앤티씨,204270,D,D,D,D,2022,일반전기전자
제이에스코퍼레이션,194370,C,D,D,B,2022,기타제조업
제이준코스메틱,25620,D,D,D,C,2022,화학
제일기획,30000,A,B+,A,A,2022,서비스업
제일약품,271980,D,D,D,D,2022,의약품
제일연마,1560,C,D,D,B+,2022,비금속광물
제일파마홀딩스,2620,D,D,D,D,2022,서비스업
제주은행,6220,B+,A,A,B+,2022,은행
제주항공,89590,B,C,B+,B+,2022,운수창고업
젬백스,82270,D,D,D,D,2022,기계·장비
조광페인트,4910,C,C,C,C,2022,화학
조광피혁,4700,C,D,D,B,2022,기타제조업
조비,1550,D,D,D,D,2022,화학
조선내화,480,D,C,C,D,2022,비금속광물
조선선재,120030,D,D,D,C,2022,기계
조일알미늄,18470,C,C,C,B,2022,철강금속
조흥,2600,C,C,C,C,2022,음식료품
종근당,185750,B+,B+,A,B,2022,의약품
종근당바이오,63160,B+,B,A,B,2022,의약품
종근당홀딩스,1630,B+,B+,A,B,2022,의약품
주성엔지니어링,36930,C,C,B,C,2022,반도체
주연테크,44380,D,D,D,D,2022,전기전자
지누스,13890,B+,B,B+,A,2022,기타제조업
지니뮤직,43610,C,C,B,C,2022,디지털컨텐츠
지엠비코리아,13870,D,D,C,D,2022,운수장비
지역난방공사,71320,A+,A,A+,A+,2022,전기가스업
지투알,35000,B,D,B,B+,2022,서비스업
진도,88790,D,D,D,C,2022,유통업
진양산업,3780,D,D,D,D,2022,화학
진양홀딩스,100250,D,D,D,D,2022,화학
진양화학,51630,D,D,D,C,2022,화학
진에어,272450,B+,B,B+,A,2022,운수창고업
진원생명과학,11000,D,D,D,D,2022,의약품
진흥기업,2780,C,D,C,B,2022,건설업
차바이오텍,85660,D,D,D,C,2022,제약
참엔지니어링,9310,C,D,C,B,2022,기계
천보,278280,D,D,D,C,2022,화학
천일고속,650,D,D,D,D,2022,운수창고업
체시스,33250,D,D,D,C,2022,운수장비
카카오,35720,A,A,A,A,2022,서비스업
카카오게임즈,293490,B,D,B+,B,2022,디지털컨텐츠
카카오뱅크,323410,-,-,-,B+,2022,은행
카페24,42000,C,D,D,B,2022,인터넷
카프로,6380,C,C,D,C,2022,화학
컨버즈,109070,D,D,D,C,2022,종이목재
컴투스,78340,D,C,C,D,2022,디지털컨텐츠
케어젠,214370,C,D,D,B+,2022,제약
케이비아이동국실업,1620,D,D,D,D,2022,운수장비
케이씨,29460,C,D,B,C,2022,의료정밀
케이씨텍,281820,C,D,C,B,2022,의료정밀
케이엠더블유,32500,D,D,C,C,2022,통신장비
케이티알파,36030,B+,B,B+,B+,2022,유통
코나아이,52400,D,D,D,D,2022,소프트웨어
코리아센터,290510,C,D,C,B,2022,소프트웨어
코리아써키트,7810,D,C,D,D,2022,전기전자
코리아에셋투자증권,190650,C,D,C,C,2022,금융
코리안리,3690,B+,C,B+,B+,2022,보험
코미코,183300,C,C,B,C,2022,반도체
코미팜,41960,D,D,D,C,2022,제약
코스맥스,192820,B,B+,A,C,2022,화학
코스맥스비티아이,44820,B+,B+,A,B,2022,기타금융
코스모신소재,5070,D,C,C,D,2022,화학
코스모화학,5420,D,C,D,D,2022,화학
코아스,71950,C,D,D,B+,2022,기타제조업
코엔텍,29960,D,C,D,D,2022,기타서비스
코오롱,2020,C,C,A,C,2022,기타금융
코오롱글로벌,3070,C,D,C,B+,2022,건설업
코오롱생명과학,102940,C,D,C,B,2022,제약
코오롱인더,120110,B+,B,A,A,2022,화학
코오롱플라스틱,138490,B,C,B,B+,2022,화학
코웨이,21240,B+,A,A,B,2022,서비스업
코웰패션,33290,D,D,D,D,2022,유통
콜마비앤에이치,200130,B+,B,B+,B+,2022,제약
콤텍시스템,31820,D,D,D,D,2022,서비스업
쿠쿠홀딩스,192400,C,D,D,B,2022,기타금융
쿠쿠홈시스,284740,C,D,D,B,2022,서비스업
큐로,15590,D,D,C,D,2022,기계
큐캐피탈,16600,D,D,D,D,2022,금융
크라운제과,264900,C,C,B,C,2022,음식료품
크라운해태홀딩스,5740,C,C,B,C,2022,기타금융
클래시스,214150,B+,C,B+,A,2022,의료·정밀기기
키다리스튜디오,20120,D,D,D,C,2022,서비스업
키움증권,39490,B,B,C,B,2022,증권
태경비케이,14580,D,C,C,D,2022,비금속광물
태경산업,15890,C,C,C,C,2022,화학
태경케미컬,6890,D,D,C,D,2022,화학
태광산업,3240,D,D,C,C,2022,화학
태림포장,11280,C,C,B+,C,2022,종이목재
태영건설,9410,B+,B+,B,B+,2022,건설업
태원물산,1420,D,D,D,D,2022,운수장비
태평양물산,7980,C,D,B,D,2022,섬유의복
테스,95610,C,D,B,C,2022,반도체
테스나,131970,D,D,C,D,2022,반도체
테이팩스,55490,B+,B,A,B,2022,화학
텔코웨어,78000,D,D,D,C,2022,서비스업
토니모리,214420,C,D,D,B+,2022,화학
톱텍,108230,D,D,C,C,2022,기계·장비
티씨케이,64760,D,D,C,C,2022,반도체
티에스이,131290,C,D,C,B,2022,반도체
티에이치엔,19180,D,D,C,D,2022,전기전자
티와이홀딩스,363280,B+,B+,B,B+,2022,기타금융
티웨이항공,91810,C,D,C,B,2022,운수창고업
티웨이홀딩스,4870,D,D,C,D,2022,비금속광물
티케이케미칼,104480,D,C,C,D,2022,화학
파라다이스,34230,C,D,C,C,2022,오락·문화
파마리서치,214450,C,D,D,B+,2022,제약
파미셀,5690,D,D,D,D,2022,의약품
파크시스템스,140860,D,D,D,C,2022,의료·정밀기기
파트론,91700,D,D,D,C,2022,IT부품
팜스코,36580,B,B,A,C,2022,음식료품
팜젠사이언스,4720,D,D,D,D,2022,의약품
팬오션,28670,B,A,B+,C,2022,운수창고업
퍼스텍,10820,D,D,D,C,2022,기계
퍼시스,16800,D,D,C,D,2022,기타제조업
펄어비스,263750,B,C,B+,B,2022,디지털컨텐츠
페이퍼코리아,1020,D,C,D,D,2022,종이목재
평화산업,90080,C,D,C,B,2022,운수장비
평화홀딩스,10770,C,D,D,B+,2022,운수장비
포스코 ICT,22100,A,B+,A+,B+,2022,기타서비스
포스코엠텍,9520,B+,B+,A,B,2022,금속
포스코인터내셔널,47050,A,B+,A+,A,2022,유통업
포스코케미칼,3670,B+,B+,A,B,2022,비금속광물
풀무원,17810,A,B+,A+,A,2022,음식료품
풍산,103140,B,C,B+,B+,2022,철강금속
풍산홀딩스,5810,B,C,B+,B+,2022,기타금융
플레이디,237820,B,D,B,B+,2022,기타서비스
피에스케이,319660,C,D,C,B,2022,반도체
피엔티,137400,C,D,C,B,2022,기계·장비
하나금융지주,86790,A,A+,A+,A,2022,기타금융
하나마이크론,67310,C,C,B,C,2022,반도체
하나머티리얼즈,166090,D,D,C,C,2022,반도체
하나제약,293480,C,D,C,B,2022,의약품
하나투어,39130,B+,B+,B+,B+,2022,서비스업
하림,136480,B,C,B,B,2022,음식료·담배
하림지주,3380,C,B+,B+,C,2022,금융
하이브,352820,C,D,D,B,2022,서비스업
하이스틸,71090,C,D,C,B,2022,철강금속
하이트진로,80,B,B,B+,B,2022,음식료품
하이트진로홀딩스,140,B,B,B+,B,2022,기타금융
한국가스공사,36460,B+,B+,A,B+,2022,전기가스업
한국공항,5430,C,C,B+,C,2022,운수창고업
한국금융지주,71050,B,D,B+,B+,2022,기타금융
한국내화,10040,C,C,B+,D,2022,비금속광물
한국비엔씨,256840,D,D,D,C,2022,제약
한국쉘석유,2960,C,C,C,B,2022,화학
한국앤컴퍼니,240,B,C,B,B+,2022,기타금융
한국자산신탁,123890,C,C,D,B,2022,기타금융
한국전자홀딩스,6200,D,C,D,D,2022,기타금융
한국정보인증,53300,C,D,C,C,2022,소프트웨어
한국조선해양,9540,B+,B+,A,B+,2022,운수장비
한국종합기술,23350,C,D,C,B,2022,서비스업
한국주강,25890,D,D,D,D,2022,기계
한국철강,104700,C,C,D,B,2022,철강금속
한국카본,17960,C,B+,A,D,2022,기계
한국캐피탈,23760,D,D,D,C,2022,금융
한국콜마,161890,B+,B+,B+,B+,2022,화학
한국콜마홀딩스,24720,B+,B+,B+,B+,2022,기타금융
한국타이어앤테크놀로지,161390,B,B,A,C,2022,화학
한국토지신탁,34830,C,D,C,C,2022,기타금융
한국특강,7280,D,C,C,D,2022,철강금속
한국항공우주,47810,B,B,A,C,2022,운수장비
한국화장품,123690,C,D,C,C,2022,유통업
한국화장품제조,3350,D,D,C,C,2022,화학
한농화성,11500,D,D,D,D,2022,화학
한독,2390,B+,B,A,B+,2022,의약품
한라홀딩스,60980,B+,B+,A,B+,2022,기타금융
한미글로벌,53690,B+,B+,A,B+,2022,서비스업
한미반도체,42700,C,D,D,B,2022,기계
한미사이언스,8930,B+,B,A+,B,2022,기타금융
한미약품,128940,B+,B,A+,B,2022,의약품
한샘,9240,A,B+,A,A,2022,유통업
한섬,20000,B+,A,A,B,2022,섬유의복
한성기업,3680,D,D,D,D,2022,음식료품
한세실업,105630,C,C,B+,C,2022,섬유의복
한세엠케이,69640,C,C,B,C,2022,유통업
한세예스24홀딩스,16450,B+,C,B+,B+,2022,섬유의복
한솔로지스틱스,9180,B+,C,A,B+,2022,운수창고업
한솔제지,213500,B+,B+,A,B+,2022,종이목재
한솔케미칼,14680,B,C,B+,B+,2022,화학
한솔테크닉스,4710,B+,B,A,B+,2022,전기전자
한솔홀딩스,4150,A,B+,A,A,2022,기타금융
한솔홈데코,25750,B,C,B,B+,2022,종이목재
한신공영,4960,D,D,C,D,2022,건설업
한양증권,1750,D,D,D,C,2022,증권
한온시스템,18880,B,B+,A,C,2022,기계
한올바이오파마,9420,C,D,C,C,2022,의약품
한익스프레스,14130,D,D,C,D,2022,운수창고업
한일시멘트,300720,C,B+,A,D,2022,비금속광물
한일철강,2220,D,D,D,D,2022,철강금속
한일현대시멘트,6390,B+,B+,B+,B,2022,비금속광물
한일홀딩스,3300,C,B+,A,D,2022,비금속광물
한전KPS,51600,A,B+,A,A,2022,건설업
한전기술,52690,B+,B,B+,B+,2022,서비스업
한전산업,130660,C,C,B,C,2022,서비스업
한진,2320,B+,B+,A,B+,2022,운수창고업
한진중공업홀딩스,3480,C,D,D,B+,2022,전기가스업
한진칼,180640,A,A,A,A,2022,운수창고업
한창,5110,D,D,D,D,2022,유통업
한창제지,9460,C,C,C,B,2022,종이목재
한화,880,A,A,A+,A,2022,화학
한화생명,88350,A,A,A+,B+,2022,보험
한화손해보험,370,A,A,A,A,2022,보험
한화솔루션,9830,B,A,A,C,2022,화학
한화시스템,272210,A,B+,A+,A,2022,전기전자
한화에어로스페이스,12450,B+,B+,A,B,2022,운수장비
한화투자증권,3530,B+,B+,A,B+,2022,증권
해성디에스,195870,B+,B+,A,B+,2022,전기전자
해태제과식품,101530,C,D,B,C,2022,음식료품
핸즈코퍼레이션,143210,C,C,B,D,2022,운수장비
헬릭스미스,84990,D,D,D,D,2022,기타서비스
현대건설,720,A,A,A,B+,2022,건설업
현대건설기계,267270,A,B+,A,A,2022,기계
현대그린푸드,5440,A,A,A,A,2022,유통업
현대글로비스,86280,A,A,A+,A,2022,운수창고업
현대로템,64350,A,A,A+,A,2022,운수장비
현대리바트,79430,A,A,A,A,2022,기타제조업
현대모비스,12330,A,A,A+,B+,2022,운수장비
현대미포조선,10620,B+,B+,A,B+,2022,운수장비
현대바이오,48410,D,D,D,C,2022,화학
현대바이오랜드,52260,A,B+,A,A,2022,화학
현대백화점,69960,A,A,A,A,2022,유통업
현대비앤지스틸,4560,C,B+,B+,D,2022,철강금속
현대약품,4310,D,D,C,D,2022,의약품
현대에너지솔루션,322000,A,A,A+,B+,2022,전기전자
현대에버다임,41440,A,B,A,A,2022,기계·장비
현대오토에버,307950,B+,B+,A,B+,2022,서비스업
현대위아,11210,A,A,A,B+,2022,운수장비
현대이지웰,90850,A,A,A+,B+,2022,기타서비스
현대일렉트릭,267260,B+,B+,A,B+,2022,전기전자
현대제철,4020,A,A,A,B+,2022,철강금속
현대중공업,329180,B+,B+,A,B+,2022,운수장비
현대차증권,1500,A,B+,A+,B+,2022,증권
현대코퍼레이션,11760,B,C,B,B,2022,유통업
현대코퍼레이션홀딩스,227840,B,C,B,B+,2022,유통업
현대퓨처넷,126560,A,A,A,A,2022,서비스업
현대해상,1450,B+,A,A,B+,2022,보험
현대홈쇼핑,57050,A,A,A+,A,2022,유통업
형지엘리트,93240,D,D,C,D,2022,섬유의복
혜인,3010,D,D,D,D,2022,유통업
호전실업,111110,D,D,D,C,2022,섬유의복
호텔신라,8770,A,B+,A,A,2022,유통업
