회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
케이알모터스(주),000040,2015/12,157559972,132.57,43,1.14,-19478481,4.93,2.52,80658560,
케이지모빌리티(주),003620,2015/12,2039197713,184.39,35.16,1.91,201547229,2.93,1.87,3390065197,
케이지케미칼(주),001390,2015/12,1142452651,146.21,40.62,15.6,-52099961,1.91,1.04,1014474707,
케이피엑스케미칼(주),025000,2015/12,507600643,24.84,80.1,-10.01,42444941,0.85,0.63,743948673,
케이피엑스홀딩스(주),092230,2015/12,1171162837,30.34,76.72,-8.38,60715584,1.01,0.65,1013970585,
코리안리재보험(주),003690,2015/12,,,,,114212849,,,8430104868,
코스맥스(주),192820,2015/12,438932112,354.76,21.99,0,-6503440,29.21,11.6,533342718,
코스맥스비티아이(주),044820,2015/12,544562916,67.35,59.76,47.06,23905379,4.12,1.67,199869310,
코스모신소재(주),005070,2015/12,,,,,,1.34,0.64,,
코스모화학(주),005420,2015/12,630470683,308.3,24.49,-11.29,-2074000,0.83,0.46,250018823,
코오롱글로벌(주),003070,2015/12,1979654412,352.37,22.11,-9.93,188191991,1.59,0.4,3029125532,
코오롱인더스트리(주),120110,2015/12,4986071748,153.82,39.4,-9.01,365757852,1.47,0.88,4856528774,
코오롱플라스틱(주),138490,2015/12,208616752,113.93,46.74,2.1,24174805,2.89,1.5,250392148,
코웨이(주),021240,2015/12,1775397143,43.38,69.74,7.17,512842862,8.07,5.66,2315242283,
쿠쿠홀딩스(주),192400,2015/12,620980563,22.68,81.51,17.79,21094515,6.5,3.27,667533187,
키움증권(주),039490,2015/12,,,,,-152580315,,,823297361,
태경산업(주),015890,2015/12,467026320,81.47,55.11,-13.2,23114076,1.48,1.17,353853068,
태경케미컬(주),006890,2015/12,117932058,20.69,82.86,-5.66,4362723,1.01,0.64,50912036,
태광산업(주),003240,2015/12,3824851529,29.65,77.13,-11.32,373414160,0.73,0.55,2804357944,
태림포장(주),011280,2015/12,621990367,66.31,60.13,0,11793842,1.08,0.48,350351465,
태양금속공업(주),004100,2015/12,370136182,267.74,27.19,1.46,13978688,0.71,0.05,482361925,
태원물산(주),001420,2015/12,,,,,,1.3,0.55,,
태평양물산(주),007980,2015/12,611246572,292.1,25.5,5.47,1228463,1.68,0.86,842559230,
텔코웨어(주),078000,2015/12,119593383,14.42,87.39,17.23,16265941,1.72,1.19,59369782,
티와이엠(주),002900,2015/12,341816689,162.17,38.14,4.01,18376014,0.66,0.37,357489527,
티케이지휴켐스(주),069260,2015/12,710593242,50.27,66.55,-16.22,66495554,2.57,1.26,600426024,
파미셀(주),005690,2015/12,,,,,,8.52,3.41,,
팜젠사이언스(주),004720,2015/12,46449650,62.08,61.7,36.65,3621573,3.14,1.66,60405445,
팬오션(주),028670,2015/12,4314284000,77.44,56.36,10.56,305314000,0.9,0.39,1819313000,
퍼스텍(주),010820,2015/12,203613976,178.34,35.93,20.02,-9378402,6.37,1.67,138760454,
페이퍼코리아(주),001020,2015/12,554699622,371.61,21.2,-1.93,-9677657,1.47,0.77,245776625,
평화산업(주),090080,2015/12,164280658,175.6,36.28,33.77,8115369,1.47,0.72,320039001,
평화홀딩스(주),010770,2015/12,454722206,188.05,34.72,2.3,24283839,0.54,0.35,574194659,
포스코스틸리온(주),058430,2015/12,431890799,145.85,40.68,-0.12,28087647,0.71,0.46,801646714,
포스코홀딩스(주),005490,2015/12,80408759246,78.41,56.05,-10.61,7601828932,0.61,0.33,58192344561,
피아이첨단소재(주),178920,2015/12,,,,,,0,0,,
하나제약(주),293480,2015/12,,,,,,,,,
하이트진로(주),000080,2015/12,3460482406,161.25,38.28,1.88,304046326,1.64,1.32,1907480760,
하이트진로홀딩스(주),000140,2015/12,4068786993,266.08,27.32,1.98,283008933,0.48,0.28,1927124745,
한국가스공사(주),036460,2015/12,42385339683,321.45,23.73,-30.13,5456204480,0.56,0.37,26052723828,
한국공항(주),005430,2015/12,381351995,42,70.42,0,33522349,0.61,0.33,455699544,
한국내화(주),010040,2015/12,,,,,,1.14,0.65,,
한국단자공업(주),025540,2015/12,703874182,25.77,79.51,9.39,93125718,2.34,1.2,661271369,
한국무브넥스(주),010100,2015/12,717080889,160.35,38.41,16.39,46824202,0.63,0.43,1132480679,
한국석유공업(주),004090,2015/12,240164602,85.93,53.78,2.5,13176811,0.7,0.37,388817022,
한국수출포장공업(주),002200,2015/12,301046858,33.27,75.04,-0.36,13865628,0.52,0.34,230679365,
한국쉘석유(주),002960,2015/12,,,,,,9.67,7.24,,
한국앤컴퍼니(주),000240,2015/12,,,,,41896273,0.95,0.55,,
한국유나이티드제약(주),033270,2015/12,,,,,,2.96,1.32,,
한국자산신탁(주),123890,2015/12,,,,,-241838,,,95400557,
한국전력공사(주),015760,2015/12,175257359000,157.95,38.77,2.58,16943105000,0.68,0.49,58957722000,
한국전력기술(주),052690,2015/12,,,,,,6.07,2.43,,
한국주강(주),025890,2015/12,,,,,,0.68,0.39,,
한국주철관공업(주),000970,2015/03,300739840,34.05,74.6,-3.37,38297935,2.29,0.4,315476202,
한국지역난방공사,071320,2015/12,,,,,,0.59,0.35,,
한국철강(주),104700,2015/12,,,,,,0.87,0.37,,
한국콜마(주),161890,2015/12,344296273,56.01,64.1,16.17,49420180,13.7,4.48,535846082,
한국콜마홀딩스(주),024720,2015/12,499515755,86.51,53.62,34.65,26535547,10.39,4.75,299567095,
한국타이어앤테크놀로지(주),161390,2015/12,9496138132,84.72,54.14,-3.78,1113695353,1.9,1.18,6428172502,
한국투자금융지주(주),071050,2015/12,,,,,32142210,,,4660501039,
한국항공우주산업(주),047810,2015/12,2808157935,131.23,43.25,30.54,59851879,10.98,3.87,3039736651,
한국화장품(주),123690,2015/12,72898699,75.74,56.9,28.97,-17052656,7.41,1.62,98446610,
한미반도체(주),042700,2015/12,225559496,16.29,85.99,0,35703757,2.45,1.23,117791354,
한미사이언스(주),008930,2015/12,932024384,59.53,62.69,45.74,46927262,26.39,1.75,776628551,
한미약품(주),128940,2015/12,1722592753,131.28,43.24,73.07,101712291,18.53,2.02,1317534519,
한성기업(주),003680,2015/12,,,,,,1.26,0.61,,
한세실업(주),105630,2015/12,992172304,133.12,42.9,20.81,14481797,6.39,3.11,1586508100,
한세엠케이(주),069640,2015/12,208943053,37.64,72.65,11,10748084,1.81,0.98,289706298,
한세예스24홀딩스(주),016450,2015/12,1436140855,161.48,38.24,20.69,41777607,11.12,3.65,2086033712,
한솔로지스틱스(주),009180,2015/12,90195689,123.11,44.82,-14.6,-1273313,6.8,2.05,374865357,
한솔제지(주),213500,2015/12,1445355206,,,,114911915,,,1511653095,
한솔테크닉스(주),004710,2015/12,541196306,109.42,47.75,14.89,42248749,2.92,1.27,652333136,
한솔피엔에스(주),010420,2015/12,,,,,,1.4,0.67,,
한솔홀딩스(주),004150,2015/12,1974138514,247.2,28.8,17.94,111169860,0.65,0.37,920610294,
한신공영(주),004960,2015/12,1529444074,555.05,15.27,24.5,263989523,1.4,0.52,1358121086,
한신기계공업(주),011700,2015/12,91984554,30.21,76.8,-3.89,1944982,1.2,0.73,62714222,
한양증권(주),001750,2015/12,,,,,,,,,
한온시스템(주),018880,2015/12,3459361438,92.25,52.02,1.89,447516384,4.02,2.44,5558080871,
한올바이오파마(주),009420,2015/12,117125562,23.01,81.29,-1.06,-454024,9.78,1.99,80022560,
한일철강(주),002220,2015/12,342792291,127.13,44.03,-12.73,4349310,0.41,0.2,111907878,
한일현대시멘트(주),006390,2015/12,,,,,,9.26,3.34,,
한일홀딩스(주),003300,2015/12,2150692026,46.43,68.29,4.24,128776318,1.07,0.57,1377333890,
한전산업개발(주),130660,2015/12,143003843,129.56,43.56,-3.32,9772654,3.83,2.33,332293744,
한전케이피에스(주),051600,2015/12,1033559144,31.45,76.07,8.68,139833378,8.73,4.81,1179714930,
한화생명보험(주),088350,2015/12,,,,,8207047685,,,16940926942,
한화손해보험(주),000370,2015/12,,,,,331594136,,,5747085152,
한화솔루션(주),009830,2015/12,13852619723,180.92,35.6,-0.23,1209290995,1.21,0.46,8036991362,
한화시스템(주),272210,2015/12,,,,,,0,0,,
한화에어로스페이스(주),012450,2015/12,4107930434,82.97,54.65,-0.08,-37529636,1.12,0.57,2613405506,
한화투자증권(주),003530,2015/12,,,,,31340189,,,1833794405,
해성디에스(주),195870,2015/12,229165337,,,,29819609,,,246043242,
해태제과식품(주),101530,2015/12,748185709,323.04,23.64,15.7,64899554,0,0,798303775,
핸즈코퍼레이션(주),143210,2015/12,655491141,246.85,28.83,17.68,-13079618,0,0,676244524,
현대건설(주),000720,2015/12,19350103000,161.82,38.19,11.33,596001000,1.31,0.62,19233180000,
현대글로비스(주),086280,2015/12,7478514339,141.49,41.41,5.38,783091781,4.42,2.26,14671209543,
현대로템(주),064350,2015/12,5043947265,250.84,28.5,3.7,-564482323,1.65,1.05,3309108924,
현대모비스(주),012330,2015/12,37774833000,47.12,67.97,-0.46,4351865000,1.48,1.01,36019749000,
현대비앤지스틸(주),004560,2015/12,581173005,79.1,55.83,0,46108188,0.86,0.42,688953412,
현대엘리베이터(주),017800,2015/12,1772684568,176.2,36.21,10.96,150051942,2.68,1.36,1448653888,
현대오토에버(주),307950,2015/12,687333595,116.44,46.2,15.7,11079983,0,0,1297964226,
현대위아(주),011210,2015/12,6683131755,111.28,47.33,3.8,626486943,1.93,0.9,7884188371,
현대자동차(주),005380,2015/12,165367946000,147.26,40.44,3.03,1248415000,1.18,0.78,91958736000,
현대제철(주),004020,2015/12,31936433537,105.78,48.6,-3.76,3075906332,0.7,0.42,16132512865,
현대차증권(주),001500,2015/12,,,,,-22677243,,,555575125,
현대코퍼레이션(주),011760,2015/12,1503986486,206.95,32.58,-20.59,74814061,3.51,2.06,4261900488,
현대코퍼레이션홀딩스(주),227840,2015/12,,,,,9374754,,,,
현대해상화재보험(주),001450,2015/12,,,,,1497819752,,,15344376062,
호전실업(주),111110,2015/12,228316286,286.37,25.88,16.98,14917241,0,0,296934135,
화성산업(주),002460,2015/12,,,,,,1.36,0.51,,
화천기계(주),010660,2015/12,,,,,,0.62,0.44,,
화천기공(주),000850,2015/12,340734968,29.19,77.4,-18.85,25221927,0.74,0.48,199324537,
환인제약(주),016580,2015/12,,,,,,2.58,1.62,,
효성아이티엑스(주),094280,2015/12,120185171,137.44,42.12,9.72,9605677,6.75,3.72,315749791,
흥국화재해상보험(주),000540,2015/12,,,,,547476000,,,4235585000,
흥아해운(주),003280,2015/12,791640802,357.39,21.86,2.42,33913401,2.22,0.83,845115359,
