회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)지에스글로벌,001250,2021/12,1442681821,321.2,23.74,36.73,-344280590,1,0.58,3849040520,
(주)지에스리테일,007070,2021/12,9455972982,114.21,46.68,0,714852180,0.95,0.67,9765695334,
(주)지투알,035000,2021/12,564897384,250.51,28.53,0,-6340273,1.83,1.23,458497770,
(주)진도,088790,2021/12,136444645,35.55,73.78,8.25,10690117,0.89,0.31,58961463,
(주)진양홀딩스,100250,2021/12,566089269,45.14,68.9,0,13592364,1.13,0.64,224791428,
(주)진에어,272450,2021/12,,,,,,6.88,3.51,,
(주)천일고속,000650,2021/12,,,,,,4.22,2.85,,
(주)청호ICT,012600,2021/12,32380760,46.68,68.18,-37.81,-7417122,7.44,1.32,18149624,
(주)카카오,035720,2021/12,22779558711,67.62,59.66,47.63,1306571526,39.5,7.6,6136669168,
(주)카카오뱅크,323410,2021/12,,,,,,,,,
(주)카카오페이,377300,2021/12,3432708944,91.17,52.31,61.28,156658929,3.2,1.81,458646799,
(주)카프로,006380,2021/12,,,,,,1.76,1.07,,
(주)케이씨,029460,2021/12,964515631,29.07,77.48,-3.92,10861752,0.76,0.49,553763395,
(주)케이씨씨,002380,2021/12,12878863209,139.56,41.74,15.57,424043437,0.85,0.34,5874899292,
(주)케이씨씨글라스,344820,2021/12,1877935029,35.26,73.93,0,229687323,0.99,0.42,1175659965,
(주)케이씨텍,281820,2021/12,,,,,,1.86,1.15,,
(주)케이씨티시,009070,2021/12,532345389,132.37,43.03,42.15,33161532,1.83,0.55,694737899,
(주)케이에스에스해운,044450,2021/12,1446228923,321.86,23.7,43.25,100253854,1.11,0.7,324001267,
(주)케이에이치필룩스,033180,2021/12,539371447,26.24,79.21,1.16,-1465312,3.25,0.8,120192178,
(주)케이이씨,092220,2021/12,400589167,43.5,69.68,33.04,27220833,1.86,0.84,267472591,
(주)케이티,030200,2021/12,37159341000,124.3,44.58,4.1,5561834000,0.82,0.55,24898005000,
(주)케이티스카이라이프,053210,2021/12,1275644844,58.28,63.18,0,102947300,0.8,0.54,763222599,
(주)케이티씨에스,058850,2021/12,416750372,128.26,43.81,0,6944697,1.09,0.6,965721215,
(주)케이티아이에스,058860,2021/12,,,,,,0.68,0.43,,
(주)케이티앤지,033780,2021/12,11637271194,26.37,79.13,0,1419821289,1.63,1.46,5228351597,
(주)코리아써키트,007810,2021/12,1064620686,63.29,61.24,57.87,66837180,2.27,0.81,1424168503,
(주)코아스,071950,2021/12,79299246,316.49,24.01,12.78,1937095,3.15,1.82,110769786,
(주)코오롱,002020,2021/12,3966282959,301.5,24.91,10.64,223932914,1.29,0.55,5410414957,
(주)콘텐트리중앙,036420,2021/12,2245640003,221.82,31.07,86.1,-122392657,4.38,1.73,677129957,
(주)콤텍시스템,031820,2021/12,349140170,108.38,47.99,60.29,16106564,0.85,0.41,382500070,
(주)큐로,015590,2021/12,,,,,,1.65,1,,
(주)크라운제과,264900,2021/12,,,,,,1.54,0.72,,
(주)크라운해태홀딩스,005740,2021/12,1115739132,128,43.86,0.54,98144146,0.71,0.39,928177932,
(주)크래프톤,259960,2021/12,5635100724,22.28,81.78,12.92,713908176,1.08,0.75,1886316491,
(주)키다리스튜디오,020120,2021/12,290122175,30.23,76.79,161.76,17275838,3.19,1.35,119118156,
(주)태경비케이,014580,2021/12,332382424,41.53,70.65,18.03,35575130,1.71,0.92,195157044,
(주)태영건설,009410,2021/12,3734783195,426.6,18.99,20.61,556996312,0.71,0.47,2751710633,
(주)테이팩스,055490,2021/12,180813732,37.7,72.62,0,12066355,6.2,2.41,154922980,
(주)토니모리,214420,2021/12,202095813,112.08,47.15,0,-718906,1.77,0.7,114648138,
(주)티비에이치글로벌,084870,2021/12,,,,,19764603,1.43,0.62,,
(주)티에이치엔,019180,2021/12,339937206,287.66,25.8,16.26,-790644,1.03,0.48,402733099,
(주)티와이홀딩스,363280,2021/12,2132174283,49.77,66.77,0,45828587,1.68,1.12,295210018,
(주)티웨이항공,091810,2021/12,735047689,1452.65,6.44,-20.36,35096015,16.02,7.44,214395239,
(주)티웨이홀딩스,004870,2021/12,805278646,802.48,11.08,-18.12,,2.2,0.96,226746470,
(주)팜스코,036580,2021/12,1107610571,252.79,28.35,0,3552464,1.17,0.59,1536856092,
(주)퍼시스,016800,2021/12,,,,,56099747,1.62,0.68,,
(주)포스코인터내셔널,047050,2021/12,10770734147,206.67,32.61,58.1,-509688025,1.83,0.92,33948864785,
(주)포스코퓨처엠,003670,2021/12,3922480304,60.86,62.17,0,103036995,6.2,3.45,1989542182,
(주)풀무원,017810,2021/12,1969372521,233.91,29.95,8.99,118483164,2.15,1.31,2518896106,
(주)풍산,103140,2021/12,3148260459,86.77,53.54,35.31,-19475546,0.85,0.47,3509498279,
(주)풍산홀딩스,005810,2021/12,1051956004,17.37,85.2,0,-12568612,1.24,0.56,487784678,
(주)플레이그램,009810,2021/12,129521138,150.39,39.94,19.76,-4460291,4.31,0.72,40831807,
(주)하나금융지주,086790,2021/12,,,,,4929909000,,,41677772000,
(주)하나투어,039130,2021/12,430595585,645.54,13.41,-63.26,-107289706,14.33,8.39,40258282,
(주)하이브,352820,2021/12,4728915303,63.82,61.04,57.72,177258248,5.99,2.13,1255926483,
(주)하이스틸,071090,2021/12,259714572,88.43,53.07,0,578763,4.4,0.35,226150662,
(주)하이트론씨스템즈,019490,2021/12,,,,,,4.38,1.04,,
(주)한국전자홀딩스,006200,2021/12,463627852,49.61,66.84,49.53,34548440,0.98,0.3,331176392,
(주)한국종합기술,023350,2021/12,,,,,,0.99,0.38,,
(주)한국카본,017960,2021/12,498355905,28.11,78.06,-10.65,25507209,1.64,1.01,367827134,
(주)한국토지신탁,034830,2021/12,,,,,269545093,,,225501021,
(주)한국특강,007280,2021/12,,,,,,1.82,0.65,,
(주)한국화장품제조,003350,2021/12,,,,,,4.35,2.6,,
(주)한농화성,011500,2021/12,,,,,,2.83,0.98,,
(주)한독,002390,2021/12,841561832,119.16,45.63,2.79,37229142,1.31,0.8,517641069,
(주)한미글로벌건축사사무소,053690,2021/12,285254341,97.92,50.52,16.13,13152262,1.52,0.97,270091695,
(주)한샘,009240,2021/12,1246352553,100.48,49.88,0,28444236,6.18,3.36,2231220949,
(주)한섬,020000,2021/12,1557084758,25.53,79.66,0,172103397,1.12,0.65,1387401661,
(주)한솔케미칼,014680,2021/12,1197174769,55.91,64.14,24.13,143216286,7.64,3.52,768688181,
(주)한솔홈데코,025750,2021/12,314661262,96.85,50.8,3.96,334975,1.28,0.74,263249688,
