,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
한솔로지스틱스,97883701000.0,122.33,44.98,2.63,3.73,B이하,B,B이하,B이하,2016,운수창고업,0.009610950747696233,1.33
한솔케미칼,699716322000.0,105.12,48.75,25.1,19.63,B+,B,B+,B+,2016,화학,0.21043471312293568,3.2399999999999998
한솔테크닉스,511496449000.0,137.66,42.08,23.81,0.0,B이하,B,B이하,B+,2016,전기전자,0.03456935348250966,2.745
한솔홀딩스,2006748728000.0,223.08,30.95,-13.68,0.0,B이하,B,B이하,B이하,2016,서비스업,0.02302893770355005,0.56
한솔홈데코,289305376000.0,102.68,49.34,-2.54,0.0,B이하,C,B+,B+,2016,종이목재,0.06735883239970428,0.945
한신공영,1553395800000.0,479.38,17.26,30.49,5.0,B이하,C,B이하,B이하,2016,건설업,0.041586649635904596,0.735
한양증권,1107738960000.0,312.94,24.22,2.25,7.01,B이하,B+,B이하,B이하,2016,증권,0.15391338388717907,0.37
한온시스템,3859737521000.0,104.77,48.84,2.62,75.0,B이하,B,B이하,B+,2016,기계,0.06823094770017277,2.335
한올바이오파마,124730823000.0,19.52,83.67,3.57,0.0,B이하,C,B+,B이하,2016,의약품,0.047662830138113774,11.135
한익스프레스,146825373000.0,156.34,39.01,7.15,14.0,B이하,B,B이하,B이하,2016,운수창고업,0.008119169179685597,2.42
한일철강,299917724000.0,93.27,51.74,-0.58,6.2,B이하,C,B이하,B이하,2016,철강금속,0.04416115312484808,0.29
한진,2537558489000.0,229.44,30.35,7.5,7.89,B이하,C,B+,B이하,2016,운수창고업,0.02318631442517522,0.61
한진중공업홀딩스,2109958000000.0,332.0,23.15,-76.78,0.0,B이하,B,B이하,B이하,2016,서비스업,0.08974478638860739,0.38
한진칼,2062032036000.0,86.36,53.66,37.2,0.0,B이하,C,B이하,B이하,2016,서비스업,0.140082953903629,0.835
한창,82275229000.0,112.69,47.02,193.94,3.99,B이하,C,B이하,B이하,2016,유통업,0.2198308518434213,4.6899999999999995
한창제지,152620392000.0,159.95,38.47,9.97,0.0,B이하,C,B이하,B이하,2016,종이목재,0.16479535771486492,1.215
한화,154871038000000.0,988.5,9.19,13.88,11.65,B+,B+,B+,A,2016,화학,0.12939858190375406,0.98
한화손해보험,13275304329000.0,1400.67,6.66,7.81,2.0,B+,A,B이하,B이하,2016,보험,0.08333608952108496,0.8
한화투자증권,6701641628000.0,712.09,12.31,-14.16,0.0,B+,A,B+,B이하,2016,증권,-0.46590384912372684,0.42
현대건설,19873443000000.0,144.61,40.88,-2.12,10.0,B+,B,B+,A,2016,건설업,0.057716819880356006,0.75
현대글로비스,7967477350000.0,129.12,43.65,4.56,600.0,B+,B,A+,B+,2016,운수창고업,0.039522326992321874,2.3200000000000003
현대로템,4473159688000.0,204.88,32.8,-9.8,0.0,B+,B,B+,B+,2016,운수장비,0.20473068335081226,1.25
현대리바트,419856718000.0,51.35,66.07,5.97,7.8,B+,B+,B+,B이하,2016,기타제조업,0.007411823235559553,2.005
현대모비스,41711608000000.0,46.06,68.47,6.22,67.5,B+,C,A+,A,2016,운수장비,0.05273638199198703,1.2999999999999998
현대미포조선,9226316948000.0,308.54,24.48,-9.3,0.0,B+,B+,B이하,A,2016,운수장비,0.12553013287988857,0.625
현대백화점,6587262226000.0,52.82,65.44,10.55,13.59,B+,B+,B+,B이하,2016,유통업,0.24130183373453704,0.9400000000000001
현대비앤지스틸,567742736000.0,63.52,61.16,-4.09,2.01,B이하,D,B이하,B+,2016,철강금속,0.10923127461004772,0.495
현대위아,7022079143000.0,115.49,46.4,-3.74,21.49,B+,B+,B+,B+,2016,운수장비,0.04672449403817153,0.8700000000000001
현대제철,32389271862000.0,97.93,50.52,3.47,14.76,B이하,C,B이하,B+,2016,철강금속,0.17473361051859332,0.47000000000000003
