종목명,ESG 통합등급,2016_E,2016_S,2016_G,평가연도,업종명
이수페타시스,B이하,D,A,B+,2016,전기전자
이수화학,B이하,B,B이하,B이하,2016,화학
이스타코,B이하,C,B이하,B이하,2016,서비스업
이아이디,B이하,D,B이하,B이하,2016,유통업
이연제약,B이하,B,B이하,B이하,2016,의약품
이월드,B이하,C,B이하,B이하,2016,서비스업
이화산업,B이하,C,B이하,B이하,2016,유통업
인디에프,B이하,C,B이하,B이하,2016,섬유의복
인스코비,B이하,B,B이하,B이하,2016,유통업
인지컨트롤스,B이하,C,B이하,B이하,2016,운수장비
인천도시가스,B이하,B,B이하,B이하,2016,전기가스업
인터지스,B이하,B,B이하,B이하,2016,운수창고업
인팩,B이하,C,B이하,B이하,2016,운수장비
일동홀딩스,B이하,B,B이하,B이하,2016,의약품
일성건설,B이하,C,B이하,B이하,2016,건설업
일성신약,B이하,C,B이하,B이하,2016,의약품
일신방직,B이하,B,B이하,B+,2016,섬유의복
일신석재,B이하,C,B이하,B이하,2016,유통업
일양약품,B이하,B,B이하,B이하,2016,의약품
일정실업,B이하,C,B이하,B이하,2016,섬유의복
일진다이아,B이하,C,B이하,B이하,2016,화학
일진디스플,B이하,B,B이하,B이하,2016,전기전자
일진머티리얼즈,B이하,C,B이하,B+,2016,전기전자
일진전기,B이하,B,B이하,B이하,2016,전기전자
일진홀딩스,B이하,B,B이하,B이하,2016,서비스업
자화전자,B이하,B,B이하,B+,2016,전기전자
전방,B이하,C,B이하,B이하,2016,섬유의복
제일기획,B이하,B,B이하,B+,2016,서비스업
제일연마,B이하,C,B이하,B이하,2016,비금속광물
제주은행,B+,A+,B+,B이하,2016,은행
조광페인트,B이하,B,B이하,B이하,2016,화학
조광피혁,B이하,B,B이하,B이하,2016,기타제조업
조비,B이하,C,B이하,B이하,2016,화학
조선내화,B이하,B,B이하,B이하,2016,비금속광물
조선선재,B이하,C,B이하,B이하,2016,기계
조일알미늄,B이하,B,B이하,B+,2016,철강금속
조흥,B이하,B,B이하,B이하,2016,음식료품
종근당,B이하,B,B+,B이하,2016,의약품
종근당바이오,B이하,B,B이하,B+,2016,의약품
종근당홀딩스,B이하,B,B이하,B이하,2016,서비스업
주연테크,B이하,C,B이하,B이하,2016,전기전자
지엠비코리아,B이하,B,B이하,B이하,2016,운수장비
지역난방공사,B+,A,B+,B+,2016,전기가스업
지코,B이하,C,B이하,B이하,2016,운수장비
