기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
넥센타이어,002350,B+,B+,A,B,2022
넵튠,217270,C,D,C,C,2022
넷마블,251270,B,C,B+,B,2022
노루페인트,090350,A,B+,A+,B+,2022
노루홀딩스,000320,A,B+,A+,B+,2022
녹십자,006280,B+,B,A,B,2022
녹십자홀딩스,005250,B+,B,A,B+,2022
농심,004370,C,B,A,D,2022
농심홀딩스,072710,C,B,B+,C,2022
농우바이오,054050,D,D,D,D,2022
농협금융지주,839683,-,-,-,A,2022
농협생명보험,839723,-,-,-,A,2022
농협은행,839742,-,-,-,A,2022
다나와,119860,C,D,C,B,2022
다날,064260,D,D,C,D,2022
다스코,058730,D,D,D,C,2022
다올투자증권,030210,B+,B,B,B+,2022
다우기술,023590,C,B+,A,C,2022
다우데이타,032190,C,D,C,C,2022
다원시스,068240,D,D,C,D,2022
다이나믹디자인,145210,D,D,D,C,2022
대교,019680,B,D,B+,B+,2022
대구백화점,006370,C,D,D,B+,2022
대구은행,005270,-,-,-,B+,2022
대덕,008060,B+,B,A,B,2022
대덕전자,353200,B+,B,A,B+,2022
대동,000490,D,C,C,D,2022
대동전자,008110,C,D,D,B,2022
대림비앤코,005750,D,D,D,C,2022
대림통상,006570,D,D,D,D,2022
대상,001680,B+,A,A+,B,2022
대상홀딩스,084690,B+,A,A+,B,2022
대성산업,128820,D,D,C,D,2022
대성에너지,117580,C,D,B,C,2022
대성홀딩스,016710,C,D,B,C,2022
대신증권,003540,B+,B,B+,B+,2022
대아티아이,045390,C,D,D,B,2022
대양금속,009190,D,D,D,D,2022
대영포장,014160,D,D,D,D,2022
대우건설,047040,B+,B+,B+,B+,2022
대우부품,009320,D,D,D,D,2022
대우조선해양,042660,B+,B,B+,B+,2022
대웅,003090,B+,B,A,B,2022
대웅제약,069620,B+,B,A,B,2022
대원강업,000430,C,C,D,C,2022
대원전선,006340,D,D,D,D,2022
대원제약,003220,B,D,B,B+,2022
대원화성,024890,D,C,C,D,2022
대유에이텍,002880,D,D,C,D,2022
대유플러스,000300,D,D,D,D,2022
대주전자재료,078600,D,D,C,C,2022
대창,012800,D,D,C,D,2022
대창단조,015230,C,C,C,C,2022
대한방직,001070,C,D,D,B,2022
대한유화,006650,C,B,B,D,2022
대한전선,001440,A,B+,A+,B+,2022
대한제강,084010,D,D,D,C,2022
대한제당,001790,D,D,D,C,2022
대한제분,001130,D,C,D,D,2022
대한항공,003490,A,A,A,A,2022
대한해운,005880,C,C,B+,C,2022
대한화섬,003830,C,C,C,B,2022
대현,016090,C,D,D,B+,2022
대호에이엘,069460,D,C,D,D,2022
더블유게임즈,192080,B,D,C,B+,2022
더존비즈온,012510,D,D,C,D,2022
덕산네오룩스,213420,D,D,C,C,2022
덕성,004830,D,D,C,C,2022
덕양산업,024900,D,D,C,D,2022
데브시스터즈,194480,B,D,B,B+,2022
덴티움,145720,D,D,C,D,2022
도화엔지니어링,002150,C,D,C,C,2022
동국제강,001230,B,B+,B,B,2022
동국제약,086450,C,D,B,C,2022
동남합성,023450,C,D,D,B,2022
동방,004140,D,C,C,D,2022
동방아그로,007590,D,D,D,C,2022
동부건설,005960,C,C,B+,C,2022
동서,026960,D,C,C,D,2022
동성제약,002210,C,D,D,B,2022
동성케미컬,102260,B+,B+,A,B,2022
동아쏘시오홀딩스,000640,A,B,A,A,2022
동아에스티,170900,A,B,A,A,2022
동아지질,028100,D,D,D,D,2022
동아타이어,282690,D,D,D,C,2022
동양,001520,D,D,D,C,2022
동양고속,084670,D,D,D,D,2022
동양생명,082640,B,D,B,B+,2022
동양철관,008970,D,D,D,D,2022
동양피스톤,092780,C,D,B,D,2022
동원F&B,049770,B,B,A,C,2022
동원개발,013120,D,D,C,C,2022
동원금속,018500,D,D,D,C,2022
동원산업,006040,C,B,B+,C,2022
동원수산,030720,D,D,D,D,2022
동원시스템즈,014820,C,B,B+,D,2022
동일고무벨트,163560,B,C,B+,B,2022
동일산업,004890,C,C,D,B+,2022
동일제강,002690,D,D,D,C,2022
동진쎄미켐,005290,C,C,B+,D,2022
동화기업,025900,D,C,C,D,2022
동화약품,000020,C,C,B+,C,2022
두산,000150,B+,B+,A,B,2022
두산밥캣,241560,B+,B,A,B+,2022
두산에너빌리티,034020,B,B+,A,C,2022
두산퓨얼셀,336260,B+,B+,A+,B,2022
두올,016740,D,D,C,C,2022
드림어스컴퍼니,060570,C,D,C,B,2022
드림텍,192650,D,D,D,C,2022
디씨엠,024090,C,D,C,B,2022
디아이,003160,D,D,C,D,2022
디아이동일,001530,D,D,C,C,2022
디아이씨,092200,D,D,C,D,2022
디와이,013570,C,D,D,B+,2022
디와이파워,210540,C,D,D,B,2022
디티알오토모티브,007340,C,C,D,B,2022
라이나생명보험,885673,-,-,-,B,2022
락앤락,115390,B,B,B+,B,2022
레고켐바이오,141080,C,D,C,B,2022
로보스타,090360,C,D,C,C,2022
롯데관광개발,032350,D,D,C,D,2022
롯데손해보험,000400,B+,B,B+,B+,2022
롯데쇼핑,023530,A,A,A+,A,2022
롯데정밀화학,004000,A,A,A+,A,2022
롯데정보통신,286940,A,A,A,A,2022
롯데제과,280360,A,B,A,A,2022
롯데지주,004990,A,A,A+,B+,2022
롯데칠성음료,005300,B+,A,A,B,2022
롯데카드,854231,-,-,-,B+,2022
롯데캐피탈,855981,-,-,-,B,2022
롯데케미칼,011170,A,B+,A+,A,2022
롯데하이마트,071840,A,A,A+,A,2022
리노공업,058470,C,D,D,B+,2022
리더스 기술투자,019570,D,D,D,D,2022
마니커,027740,D,D,D,D,2022
만도,204320,A,A,A,B+,2022
만호제강,001080,C,D,C,B+,2022
매일유업,267980,A,A,A,A,2022
멀티캠퍼스,067280,B,D,B,B,2022
메가스터디교육,215200,B,D,B,B,2022
메드팩토,235980,D,D,D,C,2022
메디톡스,086900,D,D,D,C,2022
메리츠금융지주,138040,B,C,C,B+,2022
메리츠증권,008560,B+,C,A,B+,2022
메리츠캐피탈,867865,-,-,-,B,2022
메리츠화재,000060,B,C,B,B+,2022
메이슨캐피탈,021880,D,D,D,D,2022
메지온,140410,D,D,D,D,2022
메타랩스,090370,D,D,D,D,2022
메트라이프생명보험,832969,-,-,-,B,2022
명문제약,017180,D,D,D,C,2022
명신산업,009900,D,D,D,D,2022
모나리자,012690,D,D,C,D,2022
모나미,005360,D,D,D,D,2022
모두투어,080160,C,D,C,B,2022
모토닉,009680,B,C,B,B+,2022
무림P&P,009580,B+,B,A,B+,2022
무림페이퍼,009200,B,B,B+,B,2022
무학,033920,C,D,C,B,2022
문배철강,008420,D,D,D,C,2022
