회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)도화엔지니어링,002150,2021/12,472293545,72.37,58.02,-4.04,28761752,1.33,0.93,584798852,55.3
(주)동남합성,023450,2021/12,90602982,95.85,51.06,28.31,12545411,5.63,3.38,160295973,0
(주)동방,004140,2021/12,498183527,343.69,22.54,2.74,22501179,5.53,0.83,570299845,0
(주)동방아그로,007590,2021/12,203440049,39.24,71.82,3.47,14836631,1,0.6,133436157,45.55
(주)동서,026960,2021/12,1561312544,8.91,91.82,12.62,81364107,3.26,2.07,496751792,138.56
(주)동성케미컬,102260,2021/12,464533998,38.39,72.26,76.67,4598642,1.02,0.71,375707467,19.96
(주)동아지질,028100,2021/12,350354940,71.21,58.41,-8,31382070,1.39,0.9,289482377,84.32
(주)동양,001520,2021/12,970047655,22.31,81.76,18.66,25565712,0.85,0.36,527288888,6.69
(주)동양고속,084670,2021/12,168368992,100.11,49.97,-2.86,-12519941,1.04,0.57,81012199,0
(주)동원에프앤비,049770,2021/12,1330982099,101.01,49.75,-0.59,101563649,1.51,1.05,1770772551,70
(주)두산,000150,2021/12,5308286887,74.25,57.39,-37.56,-273229596,1.07,0.33,967464727,28.91
(주)두올,016740,2021/12,267050839,66.25,60.15,-4.51,15410676,1.45,0.71,226290450,3.14
(주)드림텍,192650,2021/12,358749911,69.29,59.07,37.92,43581220,4.85,2.9,553586238,291.67
(주)디비아이엔씨,012030,2021/12,610429798,34.31,74.45,23.8,18219174,0.65,0.36,278421047,0
(주)디아이,003160,2021/12,201363821,60.37,62.35,82.46,-2415223,2.96,1.29,185866364,30.03
(주)디아이씨,092200,2021/12,391800990,697.66,12.54,16.49,34522344,6.06,2.21,409336578,0
(주)디알비동일,004840,2021/12,304795259,50.81,66.31,-12,-26021735,0.86,0.46,95761898,5.8
(주)디엔오토모티브,007340,2021/12,1251893183,90.64,52.46,40.14,216435566,1.23,0.4,235048284,172.47
(주)디지비금융지주,139130,2021/12,3974995291,23.91,80.7,7.89,86560543,0.59,0.35,195727384,12.6
(주)락앤락,115390,2021/12,612977028,14.44,87.38,14.22,11192238,1.74,0.99,243540436,0
(주)마니커,027740,2021/12,192796025,307.23,24.56,17.61,-8468857,9.28,1.74,253343657,0
(주)메리츠금융지주,138040,2021/12,2327968272,45.36,68.79,56.37,21758345,3.8,0.81,254574293,36.96
(주)메타랩스,090370,2021/12,73043250,31.47,76.06,-32.54,42466,1.74,1.02,16051852,0
