,업종명,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,2012_종가,2013_종가,등락률,연도
150,운수 및 창고업,동방,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,3950,2570,-0.3493670886075949,"12,13년"
151,운수 및 창고업,동양고속,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,22300,24050,0.0784753363228699,"12,13년"
152,운수 및 창고업,동양네트웍스,2.0,2.5,2.0,2.0,2.5,2.5,0.0,0.0,0.5,1160,617,-0.4681034482758621,"12,13년"
153,운수 및 창고업,롯데쇼핑,5.0,6.0,5.0,4.0,4.0,5.0,-1.0,-2.0,0.0,337500,402500,0.1925925925925926,"12,13년"
154,운수 및 창고업,모나미,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,4790,2250,-0.5302713987473904,"12,13년"
155,운수 및 창고업,삼성물산,4.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,59300,63000,0.0623946037099494,"12,13년"
156,운수 및 창고업,삼영무역,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,10600,16950,0.5990566037735849,"12,13년"
157,운수 및 창고업,세방,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,17800,19100,0.0730337078651685,"12,13년"
158,운수 및 창고업,세우글로벌,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,1515,1285,-0.1518151815181518,"12,13년"
159,운수 및 창고업,세이브존I&C,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,2670,4680,0.7528089887640449,"12,13년"
160,운수 및 창고업,신성통상,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,1270,1100,-0.1338582677165354,"12,13년"
161,운수 및 창고업,신세계,4.0,4.0,2.5,4.0,5.0,4.0,0.0,1.0,1.5,195000,267500,0.3717948717948718,"12,13년"
162,운수 및 창고업,신세계인터내셔날,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,85600,90200,0.0537383177570093,"12,13년"
163,운수 및 창고업,신일산업,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,1125,1400,0.2444444444444444,"12,13년"
164,운수 및 창고업,신흥,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,7480,6900,-0.0775401069518716,"12,13년"
