,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
쌍방울,섬유의복,2021,26.70377987043516,-0.3799824624714016,0.20953800099358777,-0.36639744142870984,-0.7512712295810108,-0.24161311012159245,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
한국주강,기계,2022,24.595408529333092,-0.4434253200736291,0.410150683081647,0.5215442023477969,-0.10876315487926014,-0.031157197365636945,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,무배당기업
제일파마홀딩스,서비스업,2017,26.009447401638315,-0.6855309353566884,1.5540197084147365,-2.37842141328808,0.8138107620735778,1.126350322792118,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
현대제철,철강금속,2013,31.016098443869346,-0.12647737487358435,-0.3762887044466604,-0.5467948786962057,0.050945438753361445,-0.7032583381023978,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
롯데손해보험,보험,2012,28.874430573264153,4.925353260241819,-2.220418429932201,0.05540775860550814,0.15787363810140378,-0.11601845250916738,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
한솔케미칼,화학,2011,26.49727142913758,-0.17713577754337298,-0.2802206595030827,0.593527607972783,-0.032007644711512614,-0.05831279901156656,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
세방,운수창고업,2012,27.52920026049762,-0.5166695931240596,0.6818725552995112,-0.6240453627815568,-0.03241918339757609,-0.5539025290497843,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
대웅제약,의약품,2014,27.266117996061936,-0.49115395182140054,0.5815662142554817,-0.013064261379234854,-0.05879793905121706,0.25737107012236654,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한성기업,음식료품,2017,26.095341045788434,0.7400423267346726,-1.2804585392097447,-0.3273332761810039,-0.10312096632901642,-0.5437191784325607,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
더존비즈온,서비스업,2018,26.353406938267035,-0.48806437521272783,0.5697931695320041,0.09886115590351803,2.0647121995955473,4.059155300552529,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
대교,서비스업,2012,27.425365185919365,-0.6057878977156016,1.0892199027318383,-0.6543310639286547,0.22366485820927526,-0.2450075603273336,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
고려산업,음식료품,2014,25.773333719184755,-0.21112112023877277,-0.21099515652903417,-0.7315815480140058,0.4420414940801081,-0.47243572411199514,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
진양홀딩스,서비스업,2014,27.0035334785511,-0.548364387644064,0.8156143433582175,-0.23384263350952791,0.382949626745766,-0.23142975950436873,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
조일알미늄,철강금속,2018,26.598347494610664,-0.287561507022313,-0.03816685998838206,-0.08373089738912987,-0.4931330277330587,-0.7473861907770337,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
삼성에스디에스,서비스업,2017,29.61584435939878,-0.6252309229253522,1.1928226962984418,0.24414473676858167,0.4265268611712552,0.9702056133280222,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,고배당기업
DB금융투자,증권,2022,29.590559318775206,3.2109045852395592,-1.9524639320258492,-1.0370720987151667,0.4508087965613401,-0.8594030475664939,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
제일기획,서비스업,2018,28.40670550446137,-0.007102526941937252,-0.5726630904342678,-0.22243063017873743,0.20072913260054703,1.8323959655862914,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
한농화성,화학,2021,26.103023507920657,-0.5206114667282282,0.6978838961234409,0.9196475493103731,-0.403843279062966,0.24039881909366054,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2017,25.679540920929426,-0.1651503510442116,-0.3037667489500381,-0.3958052961657469,-0.2870003541376982,-0.09565175127472006,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
유니퀘스트,유통업,2014,26.220448459676952,-0.5495895645750895,0.8212654048254869,1.1215522236243587,-0.1029425819047255,-0.2110630582699214,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
현대홈쇼핑,유통업,2012,27.898265148017018,-0.5891148377412126,1.0053958243006773,-0.05388411944706242,0.951067989758053,-0.010790496131189624,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
무림페이퍼,종이목재,2012,28.430722705521912,0.5642028028514208,-1.1646117791307244,-0.13903522122296072,0.2914706096286775,-0.7983029438631519,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
강남제비스코,화학,2021,27.53010731230945,-0.5755846229377151,0.9399376956381416,2.8658330404151826,-0.3995923677703487,-0.6489471348105385,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
삼성출판사,서비스업,2017,25.941516832207597,-0.45988530579914405,0.46666129775433984,0.0005423579767076812,-0.07694103736783216,0.01636510551474014,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
하이트진로,음식료품,2015,28.87242911897902,0.08856781080247966,-0.7054630349150958,-0.27378464516729467,1.0462826995039018,-0.04812944839434297,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
동아지질,건설업,2015,26.28177889522994,-0.30444764124557583,0.003745179227198427,-0.4853456299919492,0.11499315566506861,-0.5844525809014554,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한농화성,화학,2012,25.582198629757045,-0.3750284861850816,0.19493942553647536,-0.2553498705560177,0.06180711777685529,-0.5844525809014554,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2012,26.06726025074949,-0.13563956757516546,-0.3593355200448526,-0.9080286764362279,0.43543606230161824,-0.7372028401598102,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
토니모리,화학,2021,26.032007743674775,-0.17335370962585986,-0.2877554081261086,-0.3563022077130105,-0.4284715053575112,-0.21445750847566253,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
신성이엔지,기계,2011,26.752076940630566,0.15573946776000183,-0.7888161915573177,-1.0533122573012916,-2.0874628871345196,0.09783191045252942,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
광명전기,전기전자,2017,25.751853289106307,-0.4613768255412619,0.472312359221609,-0.1473747621185384,0.20999807099207526,-0.010790496131189624,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
신흥,유통업,2017,25.600429195698144,-0.4934977685590144,0.5905137282453247,-0.4699833178158851,-0.1855154537021444,-0.2551909109445572,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
신라교역,"농업, 임업 및 어업",2017,27.033089676168252,-0.6922427741962189,1.5987572783639512,1.2058254789901963,0.4218787228685301,-0.6964694376909155,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
사조대림,음식료품,2018,27.30373298995609,-0.08908284419620086,-0.4417468331091962,-0.5801530422785164,-0.300600458426658,-0.5199580269923721,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
미래에셋증권,증권,2022,31.98166979564436,3.23743232922437,-1.9557603845484233,1.4827860213643809,1.253732717704322,-0.6048192821359025,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
세방,운수창고업,2022,27.87864167571418,-0.6231001804366124,1.1810496515749642,0.6088899201488471,-0.015349396673900218,-0.4928024253464425,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,고배당기업
남성,유통업,2017,26.038617065019313,-0.06308778583357537,-0.48507163769159406,0.07691499565199786,0.27950678957878394,-0.4011522697914296,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
동성제약,의약품,2017,25.545037219641994,-0.27381821796994127,-0.07113138521411964,-0.20970185723285573,-0.17829092539181912,0.1555375639501301,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
이수화학,화학,2018,27.564512377854278,-0.06452603701347479,-0.48271702874689865,-0.2878301877282676,-0.599842162870687,-0.8322474459205642,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
MH에탄올,음식료품,2021,26.835754278007272,1.5360877205278607,-1.6247023669242315,-0.012186414969174065,1.927370724137122,0.18269316559605986,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,고배당기업
대원제약,의약품,2021,26.786073642549812,-0.2553340268801235,-0.11398526800757816,-0.3563022077130105,0.19068831459378774,0.4678269828783222,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
벽산,비금속광물,2022,27.123224290717864,-0.24254957194768473,-0.14271149713286396,0.09491084705824442,0.199487906129566,-0.39436336937994715,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,일반배당기업
한창,유통업,2011,24.215981521355587,-0.4446504970046544,0.41391805739315973,-0.3563022077130105,1.777178050824264,-0.4011522697914296,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
