기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당기업구분
종근당홀딩스,의약품,2022,27.95047287249033,-0.40361523651036646,0.23256432214311415,-0.4656405351097938,-0.26118189044095197,-0.43068446349129946,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,고배당기업
신풍제약,의약품,2016,26.75901921335232,-0.29549821944992344,-0.0382461998415252,-0.41953045170629943,0.5050511270243484,0.389898858094419,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
부국철강,철강금속,2021,25.738451051106598,-0.6720887757198684,1.2604240156376718,1.6759723603590253,-0.5462483985893606,-0.335114518407019,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,일반배당기업
한국화장품제조,화학,2015,24.639293473126347,-0.5618685359300686,0.7572890423837149,1.0429611066784454,1.0666638283466938,2.0772027161341295,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
대한전선,전기전자,2015,28.071082843296946,1.108317686609331,-1.4199900069867208,-1.388844596297148,-1.0625967920742345,3.428364008704991,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,무배당기업
한창제지,종이목재,2015,25.69838544977424,0.5464161547257982,-1.1078773603319805,-0.2972384913752926,-0.542682407924049,-0.008858498981371943,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
동원산업,"농업, 임업 및 어업",2011,27.89861243091864,0.11184486375466914,-0.7061203294500893,-0.26215473226393826,-0.13129523257391884,-0.19670287380219903,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,고배당기업
동성제약,의약품,2017,25.545037219641994,-0.2850389496606902,-0.061713316131355285,-0.20602071768577124,-0.1975502979406762,0.14603072236211717,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
부산주공,운수장비,2016,26.34354938781143,1.9044159115996073,-1.679066970826445,-0.7007017211558683,0.5047332219876414,0.0570518079733043,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,무배당기업
이연제약,의약품,2015,26.287514801301526,-0.7024433956516647,1.4275098836212623,-0.26616430473380737,0.3821912123939364,0.4722867417877642,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,고배당기업
