,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
한국내화,비금속광물,2012,25.944067384297426,0.007764091545072956,0.6797445255474454,0.002533804283416368,0.7103801143800909,0.07480702481479562,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
백광산업,화학,2014,26.830746448424968,0.019475814511293224,0.5287057832678271,0.001989042491664924,0.6977811735387339,0.07428897062632751,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
무학,음식료품,2012,26.654557705408756,0.0021775996901858886,0.8766142616507582,0.002335954253738863,0.730709814597797,0.07662021447443403,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한화,화학,2021,32.94110104153895,0.06726354812112732,0.4008281864121281,0.0024278919998715325,0.7257985715602151,0.07475521939594881,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,일반배당기업
빙그레,음식료품,2014,27.084313294094272,0.0015295510193883669,0.9147248736664797,0.002381555375820667,0.7043561676983675,0.08402838936952806,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
세종공업,운수장비,2013,27.270869271714105,0.007481448630821507,0.6862717574396408,0.0025190942440351406,0.7123481577003616,0.07641299279904679,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
화성산업,건설업,2015,26.883369959623863,0.005120365280831501,0.7516844469399215,0.0026821305138437406,0.6754763372541508,0.07480702481479562,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
일성건설,건설업,2013,26.374959781800936,0.009620009244453328,0.6422655811341944,0.0024511828955584756,0.6742856273904,0.06807232036471014,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
사조산업,"농업, 임업 및 어업",2018,27.793138388022786,0.010202472266640015,0.6320887142055026,0.0022339646473623553,0.6958067597434915,0.07646479821789359,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
윌비스,유통업,2015,26.443615042361554,0.009936225764541276,0.636650758001123,0.002891258240380186,0.6918991244475747,0.07309744599285085,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
쌍방울,섬유의복,2021,26.70377987043516,0.005722347841295224,0.7328747894441325,0.0023303154053093927,0.6793428962181614,0.07750090659482982,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
한국주강,기계,2022,24.595408529333092,0.004792437037777333,0.7627737226277373,0.0028262888997797665,0.6980397729512395,0.08071284256333212,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,무배당기업
제일파마홀딩스,서비스업,2017,26.009447401638315,0.0012437849790125925,0.933253790005615,6.080149610907231e-05,0.7248865185122622,0.0983784903900948,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
현대제철,철강금속,2013,31.016098443869346,0.009438087147711372,0.6455642897248738,0.0022295516355479873,0.7026872661204866,0.07045536963166348,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
