회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)청호ICT,012600,2013/12,85300387,103.18,49.22,-2.69,-8116335,1.24,0.54,53696714,0
(주)체시스,033250,2013/06,99742857,157.41,38.85,-12.27,8035032,1.16,0.57,94840917,4
(주)카프로,006380,2013/12,643433406,79.36,55.75,-19.32,-53936144,1.49,0.65,771815251,0
(주)케이씨,029460,2013/12,250893732,21.66,82.2,90.33,25174426,0.99,0.63,219452185,13.57
(주)케이씨씨,002380,2013/12,6812823452,36.53,73.25,-0.36,227022518,1.05,0.59,2862798450,121.91
(주)케이씨티시,009070,2013/12,247376071,100.12,49.97,2.05,16049017,0.63,0.39,218567442,4.98
(주)케이에스에스해운,044450,2013/12,337375290,110.76,47.45,6.34,34297065,1.02,0.55,116941221,26
(주)케이에이치필룩스,033180,2013/12,59719170,62.92,61.38,1.82,2934809,1.47,0.87,48193275,6.92
(주)케이이씨,092220,2013/12,352338534,160.68,38.36,0.5,3472603,2.48,0.11,258068994,0
(주)케이티,030200,2013/12,25693894000,132.65,42.98,-4.91,3954047000,1.31,0.94,17937079000,12.47
(주)케이티스카이라이프,053210,2013/12,667562460,66.78,59.96,8.89,130432305,6.06,3.59,600302209,18.12
(주)케이티씨에스,058850,2013/12,180109378,46.58,68.22,3.14,12018821,1.58,0.88,396223232,19.07
(주)케이티아이에스,058860,2013/12,181576207,37.97,72.48,-0.18,13089803,1.61,0.92,387720013,21.24
(주)케이티앤지,033780,2013/12,6062645011,21.54,82.27,-4.03,628671470,2.48,2.14,2510632525,42.19
(주)코리아써키트,007810,2013/12,437456608,40.71,71.07,4.87,54548526,1.85,0.87,461211813,20.14
(주)코아스,071950,2013/12,97482840,157.75,38.8,12.45,5989979,1.48,0.59,86235377,0
(주)코오롱,002020,2013/12,1134535689,81.4,55.13,6.75,15355233,0.6,0.35,62686234,10.08
(주)콤텍시스템,031820,2013/12,113625897,128.12,43.84,13.35,-5580110,1.16,0.68,180253440,6
(주)큐로,015590,2013/12,254862388,229.1,30.39,-16.38,16837224,1.59,1.18,220549121,0
(주)크라운해태홀딩스,005740,2013/12,531020480,111.39,47.31,2.52,46358044,1.85,1.23,428762601,19.39
(주)키다리스튜디오,020120,2013/12,28014609,85.83,53.81,140.89,18993,4.68,2.26,22200002,0
(주)태경비케이,014580,2013/12,178992100,59.54,62.68,-0.8,13676068,0.67,0.54,125226073,20
(주)태영건설,009410,2013/12,2030013190,165.92,37.61,-8.9,-1556656,0.73,0.54,1493197330,0
(주)티비에이치글로벌,084870,2013/12,255562073,76.49,56.66,-3.75,6651149,3.53,1.99,166970170,10
(주)티에이치엔,019180,2013/12,192932748,319.32,23.85,14.53,-18138606,0.91,0.51,190518114,6.28
(주)티웨이홀딩스,004870,2013/12,35838037,28.28,77.96,-7.75,176239,1.6,0.67,6709514,0
(주)팜스코,036580,2013/12,560025655,127.77,43.9,11.84,13472147,1.47,0.58,743700593,0
(주)퍼시스,016800,2013/12,348668177,12.73,88.71,-2.19,25488420,1.28,0.91,217080675,46.35
(주)포스코인터내셔널,047050,2013/12,7739676359,249.32,28.63,-2.41,-170795791,7.36,5.34,16601357664,6
(주)풀무원,017810,2013/12,326401995,109.75,47.68,1.73,7759514,1.86,1.07,54311313,20.04
(주)풍산,103140,2013/12,2321809561,119.98,45.46,1.34,103610547,0.95,0.59,2372687343,9
(주)풍산홀딩스,005810,2013/12,450631581,9.28,91.51,11.59,17983225,0.59,0.43,111570425,14.37
(주)플레이그램,009810,2013/12,33157450,5.37,94.91,-2.3,-980775,0.7,0.41,9821388,0
(주)하나금융지주,086790,2013/12,18218524000,28.33,77.93,473.07,-63497000,0.9,0.64,159834000,5
(주)하나투어,039130,2013/12,330835205,88.26,53.12,14.82,25868701,5.94,4.21,297598302,117.16
(주)하이스틸,071090,2013/12,249462910,88.8,52.97,-33.53,5207079,0.5,0.27,173733001,2
(주)하이트론씨스템즈,019490,2013/12,70721488,46.28,68.36,-17.11,-1684690,1.3,0.56,96641155,0
(주)한국전자홀딩스,006200,2013/12,198314503,12.11,89.2,-9.7,1915354,0.29,0.12,8949469,0
(주)한국종합기술,023350,2013/12,207814312,68.95,59.19,-5.39,2123270,0.74,0.42,171018837,20
(주)한국카본,017960,2013/12,301108580,21.42,82.36,47.15,63888771,1.49,0.97,240270248,18.85
(주)한국특강,007280,2013/12,532912158,397.47,20.1,-13.02,49461545,0.38,0.31,563315975,6
(주)한국화장품제조,003350,2013/12,40396297,58.76,62.99,-0.5,-3053466,0.95,0.54,31112773,0
(주)한농화성,011500,2013/12,130914512,62.06,61.7,6.24,18884920,1.13,0.63,224375279,15.65
(주)한독,002390,2013/12,477195322,60.16,62.44,4.22,9311870,1.06,0.57,327935993,40
(주)한미글로벌건축사사무소,053690,2013/12,107662310,87.16,53.43,-32.89,-896932,1.03,0.76,108717082,37.24
(주)한샘,009240,2013/12,477459892,85.91,53.79,30.32,82590344,4.96,1.7,955957542,53.78
(주)한섬,020000,2013/12,795055425,11.24,89.9,-5.5,46643545,1.17,0.85,462603717,53.52
(주)한솔케미칼,014680,2013/12,344585590,83.52,54.49,-2.6,40233784,1.99,1.45,286157035,9.82
(주)한솔홈데코,025750,2013/12,280681000,125.16,44.41,23.65,8722800,1.09,0.64,233952458,0
(주)한익스프레스,014130,2013/12,83970338,210.91,32.16,22.63,-934592,1.22,0.8,308693089,0
(주)한진,002320,2013/12,1704060471,143.28,41.11,3.75,102192634,0.45,0.26,1255118807,4.93
(주)한진중공업홀딩스,003480,2013/12,1066350000,1.2,98.81,20.36,12385000,0.28,0.17,16522000,4.2
(주)한진칼,180640,2013/12,831328591,,,,3292784,,,14710852,
(주)한창,005110,2013/12,31211717,30.11,76.86,22.75,-5431599,1.12,0.59,18149866,0
(주)한창제지,009460,2013/12,158442545,326.82,23.43,11.04,11661351,1.27,0.86,181296219,0
(주)한화,000880,2013/12,6276925506,138.28,41.97,1.89,317836045,1.26,0.86,5340878642,7.38
(주)현대리바트,079430,2013/12,324095302,66.42,60.09,8.38,17840643,1.12,0.49,525828071,5.85
(주)현대미포조선,010620,2013/12,5502458251,74.72,57.23,-12.9,43314434,1.21,0.67,3487039719,15.67
(주)현대백화점,069960,2013/12,4124105321,54.62,64.67,9.81,254712191,1.56,1.3,1126786722,12.8
(주)현대지에프홀딩스,005440,2013/12,1590519746,26.75,78.9,9.24,40651751,1.49,1.15,1276037993,8.93
(주)현대퓨처넷,126560,2013/12,409955677,3.47,96.64,-0.49,31097331,1.76,1.17,41372898,8
(주)현대홈쇼핑,057050,2013/12,1429041784,23.71,80.84,5.18,89831663,2.01,1.26,799862373,22
(주)형지엘리트,093240,2013/06,76091504,46.05,68.47,-2.37,11444590,0.71,0.45,96232211,24.43
(주)혜인,003010,2013/12,216756464,117.82,45.91,7.49,28742263,0.65,0.42,210991995,8.86
(주)호텔신라,008770,2013/12,1709733793,151.33,39.79,3.9,155619648,4.51,2.53,2275089386,2.97
(주)화승인더스트리,006060,2013/12,291108892,138.74,41.89,-6.85,-1426947,0.61,0.35,217365820,0
(주)화승코퍼레이션,013520,2013/12,625860986,173.53,36.56,-0.88,19656945,0.57,0.31,655379494,4.61
(주)화신,010690,2013/12,522989465,46.17,68.41,8.59,-3757465,1.56,0.96,664324554,19.89
(주)황금에스티,032560,2013/12,213859892,37.5,72.73,1.72,9721675,0.42,0.33,148431121,10
(주)효성,004800,2013/12,7848965887,203.37,32.96,-2.34,393633788,1.13,0.69,9067386153,18.95
(주)후성,093370,2013/12,254725924,111.33,47.32,-10.43,15474745,3.86,2.26,193122393,0
(주)휠라홀딩스,081660,2013/12,693230207,93.62,51.65,-2.06,32846135,2.3,1.59,415153347,5
(주)휴니드테크놀러지스,005870,2013/12,132765608,118.14,45.84,38.55,3584340,0.95,0.56,56812027,0
(주)휴비스,079980,2013/12,716851751,108.16,48.04,-2.08,15277740,1.31,0.98,1257250573,5.72
(주)휴스틸,005010,2013/12,558465365,35.83,73.62,-9.34,23916783,0.49,0.32,535195428,14
CS홀딩스(주),000590,2013/12,160068546,5.36,94.91,-0.51,1058869,0.4,0.22,1976860,0
DB금융투자(주),016610,2013/03,5025618655,744.68,11.84,0.25,-42536464,0.39,0.25,1062126615,4.88
DB손해보험(주),005830,2013/03,21189405306,668.83,13.01,7.55,-65404691,1.42,1.05,11309176735,223.51
KG스틸(주),016380,2013/12,4841857720,272.96,26.81,-6.53,132092400,0.19,0.09,3332942862,0
KISCO홀딩스(주),001940,2013/12,507369880,0.8,99.21,18.4,8171270,0.38,0.24,13771329,14.9
LG이노텍(주),011070,2013/12,4260285191,249.02,28.65,8.52,347473645,2.08,1.31,5504037545,0
LS일렉트릭(주),010120,2013/12,1961236234,117.39,46,6.95,60596014,2.88,2.18,1765837122,21.5
OCI(주),010060,2013/12,5716069793,89.46,52.78,-8.88,-40445089,1.74,1.03,2195112715,0
SK이노베이션(주),096770,2013/12,14486694282,9.98,90.92,-36.43,428769778,1.48,1.03,1493807904,63.66
SNT다이내믹스(주),003570,2013/12,909582822,36.08,73.49,-7.39,33580046,0.76,0.55,538416046,5.65
SNT모티브(주),064960,2013/12,855126771,69.94,58.84,-1.6,34932421,0.96,0.64,746022972,11.63
STX엔진(주),077970,2013/12,1200268912,0,0,-34.42,19379042,0,0,705046931,0
STX중공업(주),071970,2013/12,1684881803,1204.05,7.67,22.07,-480595562,3.85,0.75,1084749456,0
가온전선(주),000500,2013/12,513647072,86.7,53.56,-12.34,25326393,0.4,0.28,881767699,18.88
강남제비스코(주),000860,2013/12,330201735,24.12,80.57,-1.04,34384793,0.76,0.48,320478309,45
경인전자(주),009140,2013/12,58269577,9.38,91.42,4.44,177378,0.54,0.4,22395266,6.11
계룡건설산업(주),013580,2013/12,1195615003,230.16,30.29,-0.57,39379844,0.27,0.19,1050639848,0
계양전기(주),012200,2013/12,181843772,18.42,84.45,5.06,12974282,0.82,0.52,242463549,10.04
고려산업(주),002140,2013/12,142727158,131.44,43.21,6.49,4380171,2.91,0.44,198975686,2.42
고려아연(주),010130,2013/12,4690739690,12.3,89.05,-14.09,699198509,1.92,1.16,4232415605,93.66
고려제강(주),002240,2013/12,1355729605,33.89,74.69,-0.67,43977538,0.65,0.4,543415683,34.99
광동제약(주),009290,2013/12,416785331,46.39,68.31,40.87,32935144,1.64,1.08,467417083,5.49
광전자(주),017900,2013/12,248434979,17.42,85.16,-1.46,26094289,0.79,0.48,243823179,0
교보증권(주),030610,2013/03,5203953103,787.65,11.27,-61.3,-135011382,0.37,0.28,1243401464,0.96
국도화학(주),007690,2013/12,488596159,43.97,69.46,5.69,36064751,0.98,0.68,655660067,20
국제약품(주),002720,2013/12,117324062,99.3,50.18,-4.05,-3969636,0.96,0.5,117282673,3.72
그랜드코리아레저(주),114090,2013/12,562914254,42.32,70.27,11.73,170478423,8.01,5.22,561327447,209.8
그린케미칼(주),083420,2013/12,162058008,52.58,65.54,11.9,30409601,1.07,0.82,242992607,20
극동유화(주),014530,2013/12,195573225,72.28,58.04,-8.15,12047026,0.84,0.64,306046653,16
금강공업(주),014280,2013/12,489779880,155.45,39.15,12.76,63403658,0.5,0.36,424978193,6.32
