종목명,ESG 통합등급,2013_E,2013_S,2013_G,평가연도
미래에셋증권,B+,B+,B+,B이하,2013
미원상사,B이하,B,B이하,B이하,2013
미원홀딩스,B이하,B,B이하,B이하,2013
미원화학,B이하,C,B이하,B이하,2013
미창석유공업,B이하,B,B이하,B이하,2013
방림,B이하,B,B이하,B이하,2013
백광산업,B이하,C,B이하,B+,2013
백광소재,B이하,C,B이하,B이하,2013
백산,B이하,B,B이하,B이하,2013
벽산,B이하,C,B이하,B이하,2013
보락,B이하,B,B이하,B이하,2013
보령제약,B이하,C,B이하,B이하,2013
보루네오가구,B이하,B,B이하,B이하,2013
보해양조,B이하,D,B이하,B이하,2013
부광약품,B이하,B+,B이하,B이하,2013
부국증권,B이하,B,B이하,B이하,2013
부국철강,B이하,B,B이하,B이하,2013
부산도시가스,B이하,B,B이하,B이하,2013
부산산업,B이하,B,B이하,B이하,2013
부산주공,B이하,B,B이하,B이하,2013
비상교육,B이하,B,B이하,B이하,2013
빙그레,B이하,B,B+,B이하,2013
사조동아원,B이하,B,B이하,B이하,2013
사조산업,B이하,C,B이하,B이하,2013
사조오양,B이하,B,B이하,B이하,2013
사조해표,B이하,B,B이하,B이하,2013
삼광글라스,B이하,C,B이하,B이하,2013
삼부토건,B이하,C,B이하,B이하,2013
삼성SDI,A,B,A,A+,2013
삼성공조,B이하,B,B이하,B이하,2013
삼성물산,A,B+,A,A,2013
삼성생명,A,A,A+,A,2013
삼성엔지니어링,B+,B+,A,B+,2013
삼성전기,A+,A,A+,A+,2013
삼성전자,A,A,B+,A,2013
삼성제약,B이하,B,B이하,B이하,2013
삼성중공업,B+,B,A,B+,2013
삼성증권,B+,A,B+,B이하,2013
삼성출판사,B이하,B,B이하,B이하,2013
삼성카드,B이하,B,B+,B이하,2013
삼성화재해상보험,A,A,A,A,2013
삼아알미늄,B이하,B,B이하,B이하,2013
삼양사,B+,B,B+,B+,2013
삼양식품,B이하,C,B이하,B이하,2013
삼양엔텍,B이하,C,B이하,B이하,2013
삼양제넥스,B+,B,B+,B+,2013
삼양통상,B이하,B,B이하,B이하,2013
삼양홀딩스,B이하,B,B이하,B이하,2013
삼영무역,B이하,B,B이하,B이하,2013
삼영전자공업,B+,B,B+,B+,2013
삼영화학공업,B이하,B,B이하,B이하,2013
삼원강재,B이하,C,B이하,B이하,2013
삼익THK,B이하,B,B이하,B이하,2013
삼익악기,B이하,C,B이하,B이하,2013
삼일제약,B이하,C,B이하,B이하,2013
삼정펄프,B이하,B,B이하,B이하,2013
삼진제약,B이하,B,B이하,B이하,2013
삼천리,B+,B+,B+,B이하,2013
삼호,B이하,C,B+,B이하,2013
삼호개발,B이하,B,B이하,B이하,2013
삼화왕관,B이하,C,B이하,B이하,2013
삼화전기,B이하,B,B이하,B이하,2013
삼화전자공업,B이하,C,B이하,B이하,2013
삼화콘덴서공업,B이하,B,B이하,B이하,2013
삼화페인트공업,B이하,B+,B이하,B이하,2013
상신브레이크,B이하,B,B이하,B이하,2013
새론오토모티브,B이하,C,B이하,B+,2013
샘표,B이하,B,B이하,B+,2013
서연,B이하,B,B이하,B이하,2013
서울도시가스,B이하,B,B+,B이하,2013
서울식품공업,B이하,B,B이하,B이하,2013
서원,B이하,B,B이하,B이하,2013
서흥,B이하,B,B이하,B이하,2013
선도전기,B이하,C,B이하,B이하,2013
선진,B이하,C,B이하,B이하,2013
선창산업,B이하,B,B이하,B이하,2013
성문전자,B이하,C,B이하,B이하,2013
성보화학,B이하,C,B이하,B이하,2013
성신양회,B+,B+,B이하,B+,2013
성안,B이하,C,B이하,B이하,2013
성지건설,B이하,C,B이하,B이하,2013
성창기업지주,B이하,C,B이하,B이하,2013
세기상사,B이하,B,B이하,B이하,2013
세방,B이하,B,B이하,B이하,2013
세방전지,B이하,B,B이하,B+,2013
세아베스틸,B이하,B,B이하,B+,2013
세아제강,B이하,B,B이하,B+,2013
세아특수강,B이하,B+,B이하,B이하,2013
세아홀딩스,B이하,B,B이하,B이하,2013
세우글로벌,B이하,C,B이하,B이하,2013
세원셀론텍,B이하,C,B이하,B이하,2013
세원정공,B이하,C,B이하,B이하,2013
세이브존I&C,B이하,C,B이하,B이하,2013
세종공업,B이하,B,B이하,B이하,2013
세하,B이하,C,B이하,B이하,2013
송원산업,B이하,C,B이하,B+,2013
수산중공업,B이하,C,B이하,B이하,2013
신대양제지,B이하,C,B이하,B이하,2013
신도리코,B+,B,B+,B+,2013
신라교역,B이하,B,B이하,B이하,2013
신성에프에이,B이하,C,B이하,B이하,2013
신성이엔지,B이하,C,B이하,B이하,2013
신성이엔지,B이하,C,B이하,B이하,2013
신성통상,B이하,C,B이하,B이하,2013
신세계,B+,B+,A,B+,2013
신세계I&C,B+,B,B+,B+,2013
신세계건설,B이하,C,B+,B이하,2013
신세계인터내셔날,B이하,B,B이하,B이하,2013
신세계푸드,B이하,C,B이하,B이하,2013
신영와코루,B이하,C,B이하,B이하,2013
신영증권,B이하,B+,B이하,B이하,2013
신원,B이하,B,B이하,B이하,2013
신일산업,B이하,C,B이하,B이하,2013
신풍제약,B이하,B,B이하,B이하,2013
신풍제지,B이하,B,B이하,B+,2013
신한,B이하,C,B이하,B이하,2013
신한지주,A+,A+,A+,A,2013
신화실업,B이하,C,B이하,B이하,2013
신흥,B이하,B,B이하,B이하,2013
쌍방울,B이하,C,B이하,B이하,2013
